keys,en,pl,zh_CN
LIGHT_RIFLE_INFANTRY_DESCRIPTION,cheap anti-ground infantry,tania piechota przeciw celom naziemnym,廉价通用步兵
ROCKET_INFANTRY,Rocket infantry,Piechota rakietowa,火箭兵
ROCKET_INFANTRY_DESCRIPTION,anti-armor and anti-air infantry,piechota przeciw pancerzom i lotnictwu,反装甲和防空步兵
FIELD_MEDIC,Field medic,Medyk polowy,战地医疗兵
FIELD_MEDIC_DESCRIPTION,light infantry support that repairs friendly units and structures,lekka piechota wsparcia naprawiająca sojusznicze jednostki i budynki,治疗附近友军步兵
SHIELD_TROOPER,Shield trooper,Szturmowiec tarczowy,护盾步兵
SHIELD_TROOPER_DESCRIPTION,armored infantry with a passive personal damage shield,opancerzona piechota z pasywną osobistą tarczą redukującą obrażenia,耐打的前线步兵
FLAK_ROCKET_TEAM,Flak rocket team,Drużyna rakiet przeciwlotniczych,防空火箭组
FLAK_ROCKET_TEAM_DESCRIPTION,dedicated infantry air defense with splash flak rockets,dedykowana obrona przeciwlotnicza piechoty z rakietami odłamkowymi,专门反制空中目标
FLAK_ROCKET_TEAM_MK2,Flak rocket team Mk2,Drużyna rakiet przeciwlotniczych Mk2,防空火箭组 Mk2
FLAK_ROCKET_TEAM_MK2_DESCRIPTION,late-tech flak infantry that can splash both aircraft and ground targets,późna piechota przeciwlotnicza rażąca odłamkami cele powietrzne i naziemne,可打击空中和地面目标的升级小队
HEAVY_MACHINEGUN_TROOPER,Heavy machinegun trooper,Ciężki strzelec maszynowy,重机枪兵
HEAVY_MACHINEGUN_TROOPER_DESCRIPTION,suppresses ground targets with high sustained fire,tłumi cele naziemne ciągłym ogniem,压制步兵和轻甲目标
SHOCK_TROOPER,Shock trooper,Szturmowiec elektryczny,震击兵
SHOCK_TROOPER_DESCRIPTION,advanced infantry with high burst damage against ground targets,zaawansowana piechota z silnym ogniem przeciw celom naziemnym,近距离高伤害突击步兵
GRENADIER_TROOPER,Grenadier trooper,Grenadier,榴弹兵
GRENADIER_TROOPER_DESCRIPTION,splash damage infantry for clustered ground targets,piechota z obrażeniami obszarowymi przeciw skupionym celom naziemnym,对集群目标造成溅射伤害
MORTAR_TEAM,Mortar team,Obsługa moździerza,迫击炮组
MORTAR_TEAM_DESCRIPTION,long-range splash infantry for clustered ground targets,piechota dalekiego zasięgu z obrażeniami obszarowymi,远程轰击地面目标
CRYO_SPRAYER,Cryo sprayer,Miotacz kriogeniczny,冷冻喷射兵
CRYO_SPRAYER_DESCRIPTION,short-range splash infantry for clustered ground targets,piechota krótkiego zasięgu z obrażeniami obszarowymi,减速并削弱敌方地面单位
SNIPER_SCOUT,Sniper scout,Zwiadowca snajperski,狙击侦察兵
SNIPER_SCOUT_DESCRIPTION,long-sight infantry with precise long-range fire,piechota zwiadowcza z precyzyjnym ogniem dalekiego zasięgu,视野远、射程远的侦察步兵
RAIL_SNIPER_TEAM,Rail sniper team,Drużyna snajperów elektromagnetycznych,轨道狙击组
RAIL_SNIPER_TEAM_DESCRIPTION,elite long-range infantry that punches through heavy ground targets,elitarna piechota dalekiego zasięgu przebijająca ciężkie cele naziemne,后期高穿透狙击小队
PHASE_SABOTEUR,Phase saboteur,Sabotażysta fazowy,相位破坏者
PHASE_SABOTEUR_DESCRIPTION,advanced infiltrator with bonus damage against structures,zaawansowany infiltrator z dodatkowymi obrażeniami przeciw budynkom,潜入并干扰敌方经济
SABOTEUR_INFILTRATOR,Saboteur infiltrator,Infiltrator sabotażysta,渗透破坏者
SABOTEUR_INFILTRATOR_DESCRIPTION,elite infiltrator for capture and economy raids,elitarny infiltrator do przejmowania budynków i rajdów ekonomicznych,偷取敌方资源并瘫痪关键目标
PULSE_RIFLE_COMMANDO,Pulse rifle commando,Komandos z karabinem pulsacyjnym,脉冲步枪突击队
PULSE_RIFLE_COMMANDO_DESCRIPTION,elite infantry that can engage ground and air targets,elitarna piechota zwalczająca cele naziemne i powietrzne,精英多用途步兵
TACTICAL_OFFICER,Tactical officer,Oficer taktyczny,战术军官
TACTICAL_OFFICER_DESCRIPTION,long-sight command infantry that can engage ground and air targets,piechota dowódcza z dalekim polem widzenia zwalczająca cele naziemne i powietrzne,提升附近友军作战效率
SCOUT_ROVER,Scout rover,Pojazd zwiadowczy,侦察车
SCOUT_ROVER_DESCRIPTION,fast scout with light weaponry,szybki zwiadowca z lekkim uzbrojeniem,快速侦察和骚扰单位
ORE_HARVESTER,Ore harvester,Kombajn rudy,矿车
ORE_HARVESTER_DESCRIPTION,armored economy vehicle with a large resource hold,opancerzony pojazd ekonomiczny z dużą ładownią zasobów,采集并运输水晶资源
MOBILE_CONSTRUCTION_VEHICLE,Mobile construction vehicle,Mobilny pojazd konstrukcyjny,机动基地车
MOBILE_CONSTRUCTION_VEHICLE_DESCRIPTION,heavy mobile builder for forward base expansion,ciężki mobilny budowniczy do wysuniętej rozbudowy bazy,可部署为前线指挥中心
MIRAGE_SCOUT_TANK,Mirage scout tank,Czołg zwiadowczy Mirage,幻影侦察坦克
MIRAGE_SCOUT_TANK_DESCRIPTION,fast radar-guided scout armor with long sight,szybki pojazd zwiadowczy z dalekim zasięgiem widzenia,快速隐蔽侦察装甲
FLAME_ASSAULT_BUGGY,Flame assault buggy,Buggy szturmowy z miotaczem,火焰突击车
FLAME_ASSAULT_BUGGY_DESCRIPTION,fast close-range anti-ground raider,szybki rajdowiec bliskiego zasięgu przeciw celom naziemnym,近距离反步兵载具
DRONE_MINE_LAYER,Drone mine layer,Dronowy stawiacz min,布雷无人车
DRONE_MINE_LAYER_DESCRIPTION,support crawler that lays proximity mines for ground area denial,pojazd wsparcia rozstawiający miny zbliżeniowe do blokowania terenu,部署区域拒止地雷
TESLA_CRAWLER_MK2,Tesla crawler,Gąsienicowiec Tesli,特斯拉履带车 Mk2
TESLA_CRAWLER_MK2_DESCRIPTION,short-range electric assault vehicle with splash damage,krótkodystansowy elektryczny pojazd szturmowy z obrażeniami obszarowymi,电弧攻击装甲单位
ROCKET_TROOPER_ROBOT,Rocket trooper robot,Robot rakietowy,火箭机器人
ROCKET_TROOPER_ROBOT_DESCRIPTION,fights armor and aircraft,zwalcza pojazdy i lotnictwo,机器人火箭支援单位
JAMMER_VEHICLE,Jammer vehicle,Pojazd zakłócający,干扰车
JAMMER_VEHICLE_DESCRIPTION,long-sight electronic warfare vehicle,pojazd walki elektronicznej z dalekim zasięgiem widzenia,电子战支援载具
ANTI_AIR_WALKER,Anti-air walker,Krocząca obrona przeciwlotnicza,防空步行机
ANTI_AIR_WALKER_DESCRIPTION,specialized mobile air defense,mobilna obrona przeciwlotnicza,专门对抗空中单位
FLAK_HOVER_TANK,Flak hover tank,Czołg przeciwlotniczy,防空悬浮坦克
FLAK_HOVER_TANK_DESCRIPTION,fast mobile air defense with long anti-air range,szybka mobilna obrona przeciwlotnicza dalekiego zasięgu,快速防空装甲
MOBILE_REPAIR_CRAWLER,Mobile repair crawler,Mobilny pojazd naprawczy,机动维修车
MOBILE_REPAIR_CRAWLER_DESCRIPTION,armored support vehicle that repairs friendly units and structures,opancerzony pojazd wsparcia naprawiający sojusznicze jednostki i budynki,维修附近友军载具
MOBILE_SHIELD_PROJECTOR,Mobile shield projector,Mobilny projektor tarczy,机动护盾车
MOBILE_SHIELD_PROJECTOR_DESCRIPTION,armored support crawler that projects damage-reducing shields around nearby allies,opancerzony pojazd wsparcia emitujący tarcze redukujące obrażenia wokół pobliskich sojuszników,为附近友军提供护盾
MODULAR_MISSILE_CARRIER,Modular missile carrier,Modularna wyrzutnia rakiet,模块化导弹车
MODULAR_MISSILE_CARRIER_DESCRIPTION,long-range missile support against ground and air targets,dalekosiężne wsparcie rakietowe przeciw celom naziemnym i powietrznym,远程导弹支援
LONGBOW_MISSILE_CRAWLER,Longbow missile crawler,Gąsienicowa wyrzutnia Longbow,长弓导弹履带车
LONGBOW_MISSILE_CRAWLER_DESCRIPTION,late-tech missile artillery against ground and air targets,późna artyleria rakietowa przeciw celom naziemnym i powietrznym,远程反装甲导弹平台
SIEGE_ARTILLERY_VEHICLE,Siege artillery,Pojazd artyleryjski,攻城火炮车
SIEGE_ARTILLERY_VEHICLE_DESCRIPTION,long range ground bombardment,dalekosiężny ostrzał naziemny,远程溅射火炮
SIEGE_DRILL_TANK,Siege drill tank,Czołg wiertniczy,攻城钻地坦克
SIEGE_DRILL_TANK_DESCRIPTION,short-range heavy armor with high structure damage,ciężki pojazd krótkiego zasięgu z wysokimi obrażeniami przeciw budynkom,部署后强化攻城火力
LANCE_BEAM_TANK,Lance beam tank,Czołg promieniowy,长枪光束坦克
LANCE_BEAM_TANK_DESCRIPTION,advanced direct-fire armor that can engage ground and air targets,zaawansowany pojazd liniowy zwalczający cele naziemne i powietrzne,远程能量装甲单位
RAILGUN_TANK,Railgun tank,Czołg elektromagnetyczny,轨道炮坦克
RAILGUN_TANK_DESCRIPTION,advanced long-range armor killer,zaawansowany niszczyciel pancerzy dalekiego zasięgu,高伤害穿甲坦克
HAMMER_SIEGE_TANK,Hammer siege tank,Czołg oblężniczy Hammer,战锤攻城坦克
HAMMER_SIEGE_TANK_DESCRIPTION,heavy splash tank for cracking fortified ground positions,ciężki czołg obszarowy do przełamywania umocnionych pozycji naziemnych,重型攻城装甲
HEAVY_SIEGE_WALKER,Heavy siege walker,Ciężki kroczący pojazd oblężniczy,重型攻城步行机
HEAVY_SIEGE_WALKER_DESCRIPTION,slow super-heavy walker with extreme splash bombardment,powolny superciężki kroczący pojazd z potężnym ostrzałem obszarowym,后期重装火力平台
RAIL_ARTILLERY_WALKER,Rail artillery walker,Krocząca artyleria elektromagnetyczna,轨道炮步行机
RAIL_ARTILLERY_WALKER_DESCRIPTION,experimental long-range walker for extreme ground bombardment,eksperymentalny kroczący pojazd dalekiego zasięgu do ciężkiego ostrzału naziemnego,远程轨道炮火炮平台
ENGINEER_DRONE,Engineer drone,Dron inżynieryjny,工程无人机
ENGINEER_DRONE_DESCRIPTION,repairs allies and captures enemy structures,naprawia sojuszników i przejmuje wrogie budynki,维修友军并占领敌方建筑
INTERCEPTOR_VTOL,Interceptor VTOL,Przechwytujący VTOL,拦截 VTOL
INTERCEPTOR_VTOL_DESCRIPTION,fast air superiority fighter against aircraft,szybki myśliwiec przewagi powietrznej przeciw lotnictwu,快速制空战斗机
BOMBER_VTOL,Bomber VTOL,Bombowiec VTOL,轰炸 VTOL
BOMBER_VTOL_DESCRIPTION,heavy air strike against ground targets,ciężki nalot na cele naziemne,重型对地空袭单位
ROCKET_GUNSHIP,Rocket gunship,Kanoniarka rakietowa,火箭武装机
ROCKET_GUNSHIP_DESCRIPTION,fast rocket aircraft that fights ground and air targets,szybki samolot rakietowy zwalczający cele naziemne i powietrzne,可攻击地面和空中的火箭飞机
HEAVY_BOMBARDMENT_AIRSHIP,Heavy bombardment airship,Ciężki sterowiec bombowy,重型轰炸飞艇
HEAVY_BOMBARDMENT_AIRSHIP_DESCRIPTION,slow armored airship with heavy ground splash damage,powolny opancerzony sterowiec z silnym ostrzałem obszarowym,慢速重甲空中轰炸平台
SIEGE_AIRSHIP,Siege airship,Sterowiec oblężniczy,攻城飞艇
SIEGE_AIRSHIP_DESCRIPTION,late-tech armored airship for massive ground bombardment,późna opancerzona jednostka powietrzna do masowego ostrzału naziemnego,后期大范围对地轰炸飞艇
AG_TURRET,Anti-ground turret,Wieżyczka przeciwpancerna,对地炮塔
AG_TURRET_DESCRIPTION,fights ground targets,zwalcza cele naziemne,攻击地面目标
AA_TURRET,Anti-air turret,Wieżyczka przeciwlotnicza,防空炮塔
AA_TURRET_DESCRIPTION,fights air targets,zwalcza cele powietrzne,攻击空中目标
TESLA_FENCE_SEGMENT,Tesla fence segment,Segment ogrodzenia Tesli,特斯拉围栏段
TESLA_FENCE_SEGMENT_DESCRIPTION,powered perimeter segment that shocks nearby ground units,zasilany segment obwodowy rażący pobliskie jednostki naziemne,通电后电击附近地面单位的外围防线
ARC_COIL_DEFENSE_TOWER,Arc coil tower,Wieża łuku energetycznego,电弧线圈塔
ARC_COIL_DEFENSE_TOWER_DESCRIPTION,advanced powered defense with splash damage against ground and air targets,zaawansowana obrona energetyczna z obrażeniami obszarowymi przeciw celom naziemnym i powietrznym,可攻击地面和空中的高级电力防御
LANCE_BEAM_DEFENSE_TOWER,Lance beam tower,Wieża promienia lancowego,长枪光束塔
LANCE_BEAM_DEFENSE_TOWER_DESCRIPTION,long-range powered defense against ground and air targets,zasilana obrona dalekiego zasięgu przeciw celom naziemnym i powietrznym,远程对地/对空电力防御
PRISM_DEFENSE_OBELISK,Prism defense obelisk,Obelisk obronny pryzmatu,棱镜防御方尖塔
PRISM_DEFENSE_OBELISK_DESCRIPTION,late-tech prism tower with high structure damage against ground and air targets,późna wieża pryzmatyczna z wysokimi obrażeniami przeciw budynkom oraz celom naziemnym i powietrznym,后期高建筑伤害棱镜塔
RAIL_CANNON_BUNKER,Rail cannon bunker,Bunkier działa szynowego,轨道炮碉堡
RAIL_CANNON_BUNKER_DESCRIPTION,late-tech artillery defense for breaking armored ground attacks,późna obrona artyleryjska do niszczenia opancerzonych ataków naziemnych,用于击破重甲地面进攻的后期火炮防御
WEATHER_CONTROL_SPIRE,Weather control spire,Iglica kontroli pogody,天气控制尖塔
WEATHER_CONTROL_SPIRE_DESCRIPTION,late-game superweapon structure that unlocks weather storm,późna struktura superbroni odblokowująca burzę pogodową,解锁天气风暴的后期超级武器建筑
CC,Command center,Centrum dowodzenia,指挥中心
CC_DESCRIPTION,produces workers,produkuje robotników,生产工人
VEHICLE_FACTORY,Vehicle factory,Fabryka pojazdów,战车工厂
VEHICLE_FACTORY_DESCRIPTION,produces vehicles,wytwarza pojazdy,生产车辆
AIRCRAFT_FACTORY,Aircraft factory,Fabryka jednostek powietrznych,空军工厂
AIRCRAFT_FACTORY_DESCRIPTION,produces air units,wytwarza jednostki powietrzne,生产空中单位
POWER_REACTOR,Power reactor,Reaktor energetyczny,发电反应堆
POWER_REACTOR_DESCRIPTION,supplies base power,zasila bazę energią,提供基地电力
ADVANCED_REACTOR_PLANT,Advanced reactor plant,Zaawansowana elektrownia reaktorowa,高级反应堆
ADVANCED_REACTOR_PLANT_DESCRIPTION,late-tech power plant with very high output,późna elektrownia o bardzo wysokiej wydajności,后期高输出发电建筑
REFINERY,Refinery,Rafineria,精炼厂
REFINERY_DESCRIPTION,drop-off point for gathered resources,punkt odbioru zebranych zasobów,资源卸载点
ORE_PURIFIER,Ore purifier,Oczyszczacz rudy,矿石提纯器
ORE_PURIFIER_DESCRIPTION,powered late-tech economy structure that improves resource drop-off yield,zasilana późna struktura ekonomiczna zwiększająca dochód ze zdawanych zasobów,提升资源卸载收益的后期经济建筑
TECH_OIL_DERRICK,Oil derrick,Wieża wydobywcza,科技油井
TECH_OIL_DERRICK_DESCRIPTION,capturable neutral tech structure that grants a resource bonus and steady income,neutralna struktura technologiczna do przejęcia dająca premię zasobów i stały dochód,可占领的中立科技建筑，提供资源奖励和持续收入
TECH_AIRPORT,Tech airport,Lotnisko technologiczne,科技机场
TECH_AIRPORT_DESCRIPTION,capturable neutral tech structure that unlocks paradrop support,zajmowalna neutralna struktura technologiczna odblokowująca wsparcie zrzutu,可占领的中立科技建筑，解锁空降支援
TECH_HOSPITAL,Tech hospital,Szpital technologiczny,科技医院
TECH_HOSPITAL_DESCRIPTION,capturable neutral tech structure that heals nearby friendly infantry,neutralna struktura technologiczna do przejęcia lecząca pobliską sojuszniczą piechotę,可占领的中立科技建筑，治疗附近友军步兵
TECH_REPAIR_DEPOT,Tech repair depot,Technologiczna baza naprawcza,科技维修站
TECH_REPAIR_DEPOT_DESCRIPTION,capturable neutral tech structure that repairs nearby friendly ground vehicles,neutralna struktura technologiczna do przejęcia naprawiająca pobliskie sojusznicze pojazdy naziemne,可占领的中立科技建筑，维修附近友军地面载具
TECH_BUNKER,Tech bunker,Bunkier technologiczny,科技碉堡
TECH_BUNKER_DESCRIPTION,capturable neutral bunker that gains firepower from garrisoned infantry,neutralny bunkier do przejęcia zwiększający siłę ognia dzięki obsadzonej piechocie,可进驻步兵提升火力的中立碉堡
BARRACKS,Barracks,Koszary,兵营
BARRACKS_DESCRIPTION,produces infantry,produkuje piechotę,生产步兵
RADAR_UPLINK,Radar uplink,Łącze radarowe,雷达上行站
RADAR_UPLINK_DESCRIPTION,unlocks guided weapons and advanced scouting,odblokowuje broń kierowaną i zaawansowany zwiad,解锁制导武器和高级侦察
ROBOTICS_BAY,Robotics bay,Zatoka robotyczna,机器人中心
ROBOTICS_BAY_DESCRIPTION,unlocks repair drones and electronic warfare,odblokowuje drony naprawcze i walkę elektroniczną,解锁维修无人机和电子战
REPAIR_PAD,Repair pad,Platforma naprawcza,维修平台
REPAIR_PAD_DESCRIPTION,powered service structure that repairs nearby friendly ground units,zasilana struktura serwisowa naprawiająca pobliskie sojusznicze jednostki naziemne,维修附近友军地面单位的电力服务建筑
TECH_LAB,Tech lab,Laboratorium technologiczne,科技实验室
TECH_LAB_DESCRIPTION,unlocks heavy weapons and experimental armor,odblokowuje ciężką broń i eksperymentalny pancerz,解锁重型武器和实验装甲
BRIEFING_TITLE,Battle briefing,Odprawa bojowa,战斗简报
BRIEFING_OBJECTIVE_ELIMINATION,Objective: destroy every enemy command center and keep at least one of yours alive,Cel: zniszcz wszystkie wrogie centra dowodzenia i utrzymaj co najmniej jedno własne,目标：摧毁所有敌方指挥中心，并保住至少一个我方指挥中心
BRIEFING_ENEMIES,Enemies,Wrogowie,敌人
BRIEFING_ALLIES,Allies,Sojusznicy,盟友
BRIEFING_OPENING_TITLE,Recommended opening,Zalecane otwarcie,推荐开局
BRIEFING_OPENING_ECONOMY,Send workers to nearby crystals and queue extra harvesters quickly,Wyślij robotników do pobliskich kryształów i szybko zamów dodatkowe kombajny,派工人采集附近水晶，并尽快补充矿车
BRIEFING_OPENING_POWER,Add power before radar defenses and advanced production drain the grid,Dodaj energię zanim radar obrona i zaawansowana produkcja obciążą sieć,在雷达、防御和高级生产耗电前先补电力
BRIEFING_OPENING_PRODUCTION,Use barracks for cheap counters or vehicle factory for armor pressure,Użyj koszar do tanich kontr albo fabryki pojazdów do presji pancernej,用兵营做廉价克制，或用战车工厂施加装甲压力
BRIEFING_OPENING_SCOUT,Scout enemy tech capture neutral structures and hit expansions before late weapons arrive,Zwiaduj technologię wroga przejmuj neutralne struktury i atakuj ekspansje zanim nadejdzie późna broń,侦察敌方科技、占领中立建筑，并在后期武器到来前打击扩张
BRIEFING_CLOSE,Close briefing,Zamknij odprawę,关闭简报
OBJECTIVES_BUTTON,Objectives,Cele,目标
OBJECTIVES_BUTTON_TOOLTIP,Show battle briefing and objectives,Pokaż odprawę bojową i cele,显示战斗简报和目标
OBJECTIVE_TRACKER_TITLE,Battle objective,Cel bitwy,目标
OBJECTIVE_TRACKER_ELIMINATION,Destroy enemy command anchors,Zniszcz wrogie punkty dowodzenia,摧毁敌方指挥锚点
OBJECTIVE_PROGRESS_ENEMY_TEAMS,Enemy teams,Wrogie drużyny,敌方队伍
OBJECTIVE_PROGRESS_ANCHORS,Anchors,Punkty,锚点
OBJECTIVE_PROGRESS_STRUCTURES,Structures,Struktury,建筑
OBJECTIVE_PROGRESS_WORKERS,Workers,Robotnicy,工人
OBJECTIVE_PROGRESS_COMPLETE,All enemy command anchors destroyed,Wszystkie wrogie punkty dowodzenia zniszczone,所有敌方指挥锚点已摧毁
